Dataset,Model,Method,Coverage,Width,Winkler
Gold_Prices,AutoARIMA,Conformal,0.5,155.253,297.408
Gold_Prices,AutoARIMA,Parametric,0.5,160.085,281.846
Gold_Prices,AutoARIMA,Bootstrap,0.917,207.078,246.115
Gold_Prices,Theta,Conformal,0.542,156.34,259.96
Gold_Prices,Theta,Parametric,0.5,159.078,326.463
Gold_Prices,Theta,Bootstrap,0.833,203.96,218.401
Gold_Prices,LSTM,Conformal,0.417,191.03,535.479
Gold_Prices,LSTM,Parametric,1.0,452.17999267578125,452.18
Gold_Prices,LSTM,Bootstrap,0.375,191.1,641.578
Stock_Prices,AutoARIMA,Conformal,0.958,572.204,602.64
Stock_Prices,AutoARIMA,Parametric,0.667,365.668,501.433
Stock_Prices,AutoARIMA,Bootstrap,0.917,563.694,651.656
Stock_Prices,Theta,Conformal,0.875,548.367,638.534
Stock_Prices,Theta,Parametric,0.5,370.486,726.366
Stock_Prices,Theta,Bootstrap,0.917,563.677,698.45
Stock_Prices,LSTM,Conformal,1.0,1046.636,1046.636
Stock_Prices,LSTM,Parametric,1.0,923.6370239257812,923.637
Stock_Prices,LSTM,Bootstrap,0.875,733.027,786.26
Exchange_Rate,AutoARIMA,Conformal,0.958,0.06,0.062
Exchange_Rate,AutoARIMA,Parametric,1.0,0.063,0.063
Exchange_Rate,AutoARIMA,Bootstrap,0.958,0.07,0.074
Exchange_Rate,Theta,Conformal,0.958,0.06,0.062
Exchange_Rate,Theta,Parametric,1.0,0.063,0.063
Exchange_Rate,Theta,Bootstrap,1.0,0.072,0.072
Exchange_Rate,LSTM,Conformal,0.792,0.092,0.113
Exchange_Rate,LSTM,Parametric,1.0,0.24899999797344208,0.249
Exchange_Rate,LSTM,Bootstrap,0.875,0.085,0.095
Electricity_Demand,AutoARIMA,Conformal,0.75,0.803,1.824
Electricity_Demand,AutoARIMA,Parametric,0.917,1.177,1.513
Electricity_Demand,AutoARIMA,Bootstrap,0.792,0.929,1.895
Electricity_Demand,Theta,Conformal,0.542,0.785,3.854
Electricity_Demand,Theta,Parametric,0.75,1.294,2.495
Electricity_Demand,Theta,Bootstrap,0.458,0.996,4.717
Electricity_Demand,LSTM,Conformal,0.917,1.426,1.795
Electricity_Demand,LSTM,Parametric,0.875,1.2419999837875366,1.988
Electricity_Demand,LSTM,Bootstrap,0.292,0.901,4.698
M4_Series,AutoARIMA,Conformal,0.625,57.999,87.896
M4_Series,AutoARIMA,Parametric,1.0,78.11,78.11
M4_Series,AutoARIMA,Bootstrap,0.625,68.564,126.472
M4_Series,Theta,Conformal,1.0,66.089,66.089
M4_Series,Theta,Parametric,1.0,77.577,77.577
M4_Series,Theta,Bootstrap,0.542,70.036,105.925
M4_Series,LSTM,Conformal,1.0,145.157,145.157
M4_Series,LSTM,Parametric,1.0,644.7329711914062,644.733
M4_Series,LSTM,Bootstrap,0.542,119.8,303.866
