Dataset,Model,Method,Coverage,Width,Winkler
Baseline_Gaussian,AutoARIMA,Conformal,0.792,4.385,8.141
Baseline_Gaussian,AutoARIMA,Parametric,0.792,4.486,6.611
Baseline_Gaussian,AutoARIMA,Bootstrap,0.792,4.322,6.396
Baseline_Gaussian,Theta,Conformal,0.792,6.044,10.314
Baseline_Gaussian,Theta,Parametric,0.958,9.718,9.758
Baseline_Gaussian,Theta,Bootstrap,0.958,5.948,6.67
Baseline_Gaussian,LSTM,Conformal,0.833,4.703,6.037
Baseline_Gaussian,LSTM,Parametric,0.875,4.9710001945495605,5.947
Baseline_Gaussian,LSTM,Bootstrap,0.917,4.875,5.377
Heavy_Tailed,AutoARIMA,Conformal,1.0,5.6,5.6
Heavy_Tailed,AutoARIMA,Parametric,1.0,7.352,7.352
Heavy_Tailed,AutoARIMA,Bootstrap,0.958,6.174,6.361
Heavy_Tailed,Theta,Conformal,1.0,10.159,10.159
Heavy_Tailed,Theta,Parametric,1.0,15.606,15.606
Heavy_Tailed,Theta,Bootstrap,1.0,10.637,10.637
Heavy_Tailed,LSTM,Conformal,1.0,6.957,6.957
Heavy_Tailed,LSTM,Parametric,1.0,6.8379998207092285,6.838
Heavy_Tailed,LSTM,Bootstrap,0.958,7.236,7.6
GARCH,AutoARIMA,Conformal,0.625,3.689,8.262
GARCH,AutoARIMA,Parametric,0.833,4.491,6.071
GARCH,AutoARIMA,Bootstrap,0.667,4.165,9.338
GARCH,Theta,Conformal,0.375,4.275,20.859
GARCH,Theta,Parametric,0.958,9.475,9.671
GARCH,Theta,Bootstrap,0.083,4.03,33.688
GARCH,LSTM,Conformal,0.625,4.525,9.523
GARCH,LSTM,Parametric,0.917,7.28000020980835,7.517
GARCH,LSTM,Bootstrap,0.375,4.115,14.773
Regime_Switching,AutoARIMA,Conformal,0.833,2.339,3.377
Regime_Switching,AutoARIMA,Parametric,1.0,6.315,6.315
Regime_Switching,AutoARIMA,Bootstrap,0.792,1.84,3.214
Regime_Switching,Theta,Conformal,0.958,3.434,3.847
Regime_Switching,Theta,Parametric,1.0,12.422,12.422
Regime_Switching,Theta,Bootstrap,0.958,3.431,3.483
Regime_Switching,LSTM,Conformal,0.833,1.913,3.227
Regime_Switching,LSTM,Parametric,0.917,2.815999984741211,3.166
Regime_Switching,LSTM,Bootstrap,0.792,1.865,3.424
Mixture_Gaussian,AutoARIMA,Conformal,0.75,8.407,20.538
Mixture_Gaussian,AutoARIMA,Parametric,0.875,10.492,18.624
Mixture_Gaussian,AutoARIMA,Bootstrap,0.792,8.583,25.394
Mixture_Gaussian,Theta,Conformal,0.917,12.924,14.99
Mixture_Gaussian,Theta,Parametric,1.0,22.288,22.288
Mixture_Gaussian,Theta,Bootstrap,0.75,11.762,34.437
Mixture_Gaussian,LSTM,Conformal,0.75,9.367,31.794
Mixture_Gaussian,LSTM,Parametric,0.708,8.038000106811523,28.891
Mixture_Gaussian,LSTM,Bootstrap,0.5,8.31,46.845
